Grapheme;Prior_Probability;Phoneme;Conditional_Probability;Example;
PB;.000009;b;1.000;raspberry;consonant
PH;.0022;f;1.000;graph;consonant
PN;.00002;n;1.000;pneumonia;consonant
PP;.0014;p;1.000;apple;consonant
PS;.0001;s;0.99999;psalm;consonant
PS;.000001; ;0.00001;corps;consonant
PT;.00001;t;1.000;receipt;consonant
Q;.0001;k;1.000;liquid;consonant
QU;.0020;kw;.876;quilt;consonant
QU;.0020;k;.123;bouquet ;consonant
R;.0841;r;1.000;rap;consonant
RH;.0001;r;1.000;rhyme ;consonant
RR;.0019;r;1.000;purr ;consonant
S;.0488;s;.868;sit;consonant
S;.0488;z;.120;design;consonant
S;.0488;zh;.006;usual;consonant
S;.0488;sh;.003;sugar;consonant
SC;.0008;s;.865;scene;consonant
SC;.0008;sh;.067;crescendo;consonant
SC;.0008;z;.033;discern;consonant
SC;.0008;k;.033;viscount;consonant
SCH;.00003;s;.500;schism;consonant
SCH;.00003;sh;.500;schwa;consonant
SCI;.00004;sh;1.000;conscious;consonant
SH;.0036;sh;1.000;ship;consonant
Sl;.0008;zh;.568;fusion;consonant
Sl;.0008;sh;.431;pension;consonant
SL;.00004;l;1.000;island;consonant
SS;.0042;s;.952;boss;consonant
SS;.0042;z;.028;dessert;consonant
SS;.0042;sh;.019;pressure;consonant
SSI;.0004;sh;1.000;mission;consonant
ST;.0003;s;1.000;listen;consonant
SW;.00003;s;1.000;sword;consonant
T;.0713;t;.973;tab;consonant
T;.0713;tch;.022;culture;consonant
T;.0713;sh;.003;initiate;consonant
TCH;.0005;tch;1.000;watch;consonant
TG;.000009;g;1.000;mortgage;consonant
TH;.0051;th-;.732;thaw;consonant
TH;.0051;th+;.265;the;consonant
TH;.0051;t;.001;thyme;consonant
Tl;.0076;sh;.983;action;consonant
Tl;.0076;tch;.015;question;consonant
Tl;.0076;zh;.001;equation;consonant
TT;.0019;t;1.000;putt;consonant
TW;.00002;t;1.000;two;consonant
V;.0136;v;1.000;vat;consonant
W;.0053;w;1.000;we;consonant
WH;.0009;w;.847;what;consonant
WH;.0009;h;.152;who;consonant
WR;.0004;r;1.000;wrap;consonant
X;.0033;ks;.885;ox;consonant
X;.0033;gz;.114;exist;consonant
Z;.0021;z;.996;zoo;consonant
Z;.0021;s;.025;waltz;consonant
Z;.0021;zh;.008;azure;consonant
ZZ;.0002;z;1.000;buzz;consonant
$H;.0003; ;1.000;heir;consonant
